;CO2_to_DME_SG [CO2_treatment];CO2_to_CO_DRM [CO2_treatment];CO2_to_DMM [CO2_treatment];CO2_to_DMC_eth_carb_trans [CO2_treatment];CO2_to_FA_hydro [CO2_treatment];CO2_to_DMC_elec [CO2_treatment];CO2_to_FA_elec_lp [CO2_treatment];CO2_to_EtOH_elec [CO2_treatment];CO2_to_MeOH [CO2_treatment];CO2_to_PEP [CO2_treatment];CO2_to_CO_rWGS [CO2_treatment];CO2_to_FT [CO2_treatment];CO2_to_CH4 [CO2_treatment]
15;-1.9752286963161245;-0.4871813557179457;-0.24315824408370712;-1.4930194653943518;-5.197058346036813;156.67102470617058;-0.7155521978386814;-0.14121925476636776;-1.3282790667064184;-2.5987888757137605;-0.781301717790674;10.93975692510661;-0.68160144502899
16;-2.1365180672337445;-0.38948653075522716;-0.1321263141178313;-1.1731248214971235;-3.8313127633799113;139.69255161614373;0.14863548369343538;-0.16661586161099726;-1.085891033220053;-4.406119874614376;-0.714518612925881;8.94119172796703;-0.41725939558231556
17;-0.7557122051965338;-0.3223209324951401;0.009859205187683077;-1.2494512401922908;-4.105575311582562;152.23879847059965;0.22685178191904856;-0.10842066660390749;-1.174704179349248;-5.13824449638392;-0.5914272486328195;10.696089252780096;-0.4660858298424442
18;-0.5917786239208598;-1.106089389931507;0.23953090689413953;-1.0869680320323805;-4.440315188892885;162.1916570933218;0.09166232595059406;-0.11805776468347765;-0.7860747748534164;-3.7725533079612394;-0.8387213302791316;11.819584201883774;-0.1503735860553654
19;-0.4276246499673252;-0.6101853989721565;0.2711656088450765;-1.3803420590948854;-4.333639487711739;161.6519748249981;0.17021223507402503;-0.09762816723532343;-0.885216033302895;-6.2649107610431995;-0.6451007616651843;10.86425734338681;-0.048840809028590296
20;-0.8160753832142515;-0.23167247667360025;-0.012942693708028379;-0.4830130868403826;-4.414340981732463;158.31708119434825;0.1021521856853736;-0.0016667104196310032;-1.2153497717719943;-3.3412553778843512;-0.7332079248569068;10.185853762263072;-0.5631289290137099
21;-0.2909113050962999;-0.391775978136489;-0.0030862411505384307;-2.6818085078252336;-3.747164578291125;146.2788749768096;0.5036844363116291;0.01521665225266368;-0.7785549159269616;-2.9022708985529593;-0.6585746416528817;10.11849594516329;-0.4123497865700662
22;-0.28835192861221626;-0.7566344602398845;0.5913713316572814;-1.0069964011345804;-2.837620816270308;150.04429936714564;1.2835099306000028;-0.015501375463536828;-0.4033032426265202;-5.328447471756169;-0.48197303421872484;10.708716190589898;0.3295733310432875
23;0.18743423020753086;-0.6887412076439352;0.1044729982723152;-0.8306330260485704;-4.318682116654557;157.12244642115402;0.15489698878537073;0.04416094870030426;-0.576739709842984;-3.578638507444518;-0.7213716420436719;11.252039054291867;-0.29246947368738213
24;-0.2983770692116973;-0.4976143964737892;0.5030131718296653;-0.8999315905127436;-2.489956500647318;155.8330915409611;1.834128569814341;0.06666266810407721;-0.4179565093914486;-4.408248348354167;-0.5221750125260621;10.697799246867936;0.0932481680013088
25;0.06637644061080376;-0.4858361949392346;0.024271038159164843;-0.47225889434113283;-6.282202237491637;148.19968738953486;-2.0858752246759025;0.002567391408428113;-0.944078963150824;-3.394090271897458;-0.6265321133221973;10.710699326544542;-0.44126035940043595
